Country,Austria,Belarus,Bulgaria,Belgium,Canada,Croatia,Cyprus,Czech Republic,Denmark,Estonia,European Union,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Japan,Latvia,Liechtenstein,Lithuania,Luxembourg,Malta,Monaco,Netherlands,New Zealand,Norway,Poland,Portugal,Romania,Russian Federation,Slovakia,Slovenia,Spain,Sweden,Switzerland,Turkey,Ukraine,United Kingdom,United States of America
2015,8633169,9489616,7177991,11274196,35848610,4203604,1160985,10546059,5683483,1315407,509703315,5479531,66624068,81686611,10820883,9843028,330815,4676835,60730582,127141000,1977527,37403,2904910,569604,431874,38307,16939923,4595700,5188607,37986412,10358076,19815481,144096870,5423801,2063531,46447697,9799186,8282396,78271472,45154029,65128861,320896618
2014,8541575,9474511,7223938,11209057,35544564,4238389,1152309,10525347,5643475,1314545,508157247,5461512,66331957,80982500,10892413,9866468,327386,4617225,60789140,127276000,1993782,37127,2932367,556319,427364,38132,16865008,4509700,5137232,38011735,10401062,19908979,143819666,5418649,2061980,46480882,9696110,8188649,77030628,45271947,64613160,318563456
2013,8479375,9465997,7265115,11182817,35155451,4255689,1143896,10514272,5614932,1317997,506592457,5438972,65998570,80645605,10965211,9893082,323764,4598294,60233948,127445000,2012647,36834,2957689,543360,423374,37971,16804432,4442100,5079623,38040196,10457295,19983693,143506911,5413393,2059953,46620045,9600379,8089346,75787333,45489600,64128226,316204908
2012,8429991,9464495,7305888,11128246,34750545,4267558,1135062,10510785,5591572,1322696,505104334,5413971,65659790,80425823,11045011,9920362,320716,4586897,59539717,127629000,2034319,36545,2987773,530946,419455,37783,16754962,4408100,5018573,38063164,10514844,20058035,143201676,5407579,2057159,46773055,9519374,7996861,74569867,45593300,63700300,313998379
2011,8391643,9473172,7348328,11047744,34342780,4280622,1124835,10496088,5570572,1327439,504012082,5388272,65342776,80274983,11104899,9971727,319014,4576794,59379449,127833000,2059709,36264,3028115,518347,416268,37497,16693074,4384000,4953088,38063255,10557560,20147528,142960868,5398384,2052843,46742697,9449213,7912398,73409455,45706100,63258918,311663358
2010,8363404,9490583,7395599,10895586,34005274,4417781,1112607,10474410,5547683,1331475,504421131,5363352,65027512,81776930,11121341,10000023,318041,4560155,59277417,128070000,2097555,36003,3097282,506953,414508,37094,16615394,4350700,4889252,38042794,10573100,20246871,142849449,5391428,2048583,46576897,9378126,7824909,72326914,45870700,62766365,309348193
2009,8343323,9506765,7444443,10796493,33628571,4429078,1098076,10443936,5523095,1334515,503317964,5338871,64707044,81902307,11107017,10022650,318499,4535375,59095365,128047000,2141669,35766,3162916,497783,412477,36534,16530388,4302600,4828726,38151603,10568247,20367487,142785342,5386406,2039669,46362946,9298515,7743831,71339185,46053300,62276270,306771529
2008,8321496,9527985,7492561,10709973,33245773,4434508,1081563,10384603,5493621,1337090,501808478,5313399,64374990,82110097,11077841,10038188,317414,4489544,58826731,128063000,2177322,35541,3198231,488650,409379,35853,16445593,4259800,4768212,38125759,10558177,20537875,142742350,5379233,2021316,45954106,9219637,7647675,70440032,46258200,61806995,304093966
2007,8295487,9560953,7545338,10625700,32887928,4436000,1063712,10298828,5461438,1340680,499916649,5288720,64016229,82266372,11048473,10055780,311566,4398942,58438310,128001000,2200325,35322,3231294,479993,406724,35111,16381696,4223800,4709153,38120560,10542964,20882982,142805088,5374622,2018122,45226803,9148092,7551117,69597281,46509350,61322463,301231207
2006,8268641,9604924,7601022,10547958,32570505,4440000,1045509,10238905,5437272,1346810,497973707,5266268,63621376,82376451,11020362,10071370,303782,4273591,58143979,127854000,2218357,35095,3269909,472637,405308,34408,16346101,4184600,4660677,38141267,10522288,21193760,143049528,5373054,2006868,44397319,9080505,7483934,68763405,46787750,60846820,298379912
2005,8227829,9663915,7658972,10478617,32312000,4442000,1027658,10211216,5419432,1354775,496115011,5246096,63179356,82469422,10987314,10087065,296734,4159914,57969484,127773000,2238799,34852,3322528,465158,403834,33793,16319868,4133900,4623291,38165445,10503330,21319685,143518523,5372807,2000474,43653155,9029572,7437115,67903406,47105150,60401206,295516599
2004,8171966,9730146,7716860,10421137,31995000,4439000,1010410,10197101,5404523,1362550,494162545,5228172,62704897,82516260,10955141,10107146,292074,4070262,57685327,127761000,2263122,34596,3377075,458095,401268,33314,16281779,4087500,4591910,38182222,10483861,21451748,144067054,5372280,1997012,42921895,8993531,7389625,67007855,47451600,59987905,292805298
2003,8121423,9796749,7775327,10376133,31676000,4440000,993563,10193998,5390574,1370720,492200115,5213014,62244884,82534176,10928070,10129552,289521,3996521,57313203,127718000,2287955,34321,3415213,451630,398582,32933,16225302,4027200,4564855,38204570,10458821,21574326,144648257,5373374,1995733,42187645,8958229,7339001,66085803,47812950,59647577,290107933
2002,8081957,9865548,7837161,10332785,31362000,4440000,976966,10196916,5375931,1379350,490390251,5200598,61805267,82488495,10902022,10158608,287523,3931947,57059007,127445000,2310173,34018,3443067,446175,395969,32629,16148929,3948500,4538159,38230364,10419631,21730496,145306046,5376912,1994530,41431558,8924958,7284753,65143054,48202500,59370479,287625193
2001,8042293,9928549,8009142,10286570,31081900,4440000,960282,10216605,5358783,1388115,489155666,5188008,61357431,82349925,10862132,10187576,284968,3866243,56974100,127149000,2337170,33671,3470818,441525,393028,32360,16046180,3880500,4513751,38248076,10362722,22131970,145976083,5378867,1992060,40850412,8895960,7229854,64191474,48683865,59119673,284968955
2000,8011566,9979610,8170172,10251250,30769700,4426000,943286,10255063,5339616,1396985,488178830,5176209,60912498,82211508,10805808,10210971,281205,3805174,56942108,126843000,2367550,33286,3499536,436300,390087,32082,15925513,3857700,4490967,38258629,10289898,22442971,146596557,5388720,1988925,40567864,8872109,7184250,63240121,49175848,58892514,282162411
1999,7992324,10026738,8210624,10226419,30499200,4554000,926050,10283860,5321799,1390244,487539363,5165474,60496715,82100243,10761698,10237530,277381,3754786,56916317,126631000,2390482,32842,3524238,430475,387578,31800,15812088,3835100,4461913,38660271,10217828,22472040,147214392,5396020,1983045,40386875,8857874,7143991,62287326,49673350,58682466,279040000
1998,7976789,10069000,8256786,10203008,30247900,4501000,908704,10294373,5304219,1386156,486565874,5153498,60186291,82047195,10720509,10266570,274047,3712696,56906744,126400000,2410019,32355,3549331,424700,385287,31523,15707209,3815000,4431464,38663481,10160196,22507344,147670692,5390516,1981629,40223509,8850974,7110001,61329590,50143939,58487141,275854000
1997,7968041,10117000,8312068,10181245,29987200,4572000,891192,10304131,5284991,1399535,485892088,5139835,59964845,82034771,10661259,10290486,271128,3674171,56890372,126057000,2432851,31838,3575137,419450,382791,31251,15610650,3781300,4405157,38649660,10108977,22553978,147915307,5383291,1985956,40057389,8846062,7088906,60372499,50594105,58316954,272657000
1996,7959017,10160000,8362826,10156637,29671900,4494000,873423,10315241,5263074,1415594,485000714,5124573,59753098,81914831,10608800,10311238,268916,3637510,56860281,125757000,2457222,31325,3601613,414225,379905,30967,15530498,3732000,4381336,38624370,10063945,22619004,148160042,5373361,1988628,39889852,8840998,7071850,59423208,51057189,58166950,269394000
