key,emission,date,population,value,,,,,,,,
Australia,402159.57,2015,23789338,0.016905034,,,,,,,,
Australia,393572.0685,2014,23460694,0.016775807,,,,,,,,
Australia,398292.6287,2013,23117353,0.017229162,,,,,,,,
Australia,407140.0077,2012,22728254,0.017913387,,,,,,,,
Australia,404273.3804,2011,22340024,0.018096372,,,,,,,,
Australia,406810.7353,2010,22031750,0.018464749,,,,,,,,
Australia,408752.3419,2009,21691700,0.018843721,,,,,,,,
Australia,404889.7243,2008,21249200,0.019054351,,,,,,,,
Australia,399297.236,2007,20827600,0.019171543,,,,,,,,
Australia,391363.832,2006,20697900,0.018908384,,,,,,,,
Australia,385807.2997,2005,20394800,0.018916945,,,,,,,,
Australia,382021.0979,2004,20127400,0.018980151,,,,,,,,
Australia,368784.9639,2003,19895400,0.018536192,,,,,,,,
Australia,361966.4809,2002,19651400,0.018419374,,,,,,,,
Australia,357461.9539,2001,19413000,0.018413535,,,,,,,,
Australia,349983.9357,2000,19153000,0.018273061,,,,,,,,
Australia,343850.3707,1999,18926000,0.018168148,,,,,,,,
Australia,334426.7868,1998,18711000,0.017873272,,,,,,,,
Australia,320558.1017,1997,18517000,0.017311557,,,,,,,,
Australia,312184.873,1996,18311000,0.017049035,,,,,,,,
Australia,305260.8375,1995,18072000,0.01689137,,,,,,,,
Australia,293928.8119,1994,17855000,0.016461989,,,,,,,,
Australia,289230.5331,1993,17667000,0.016371231,,,,,,,,
Australia,284840.0596,1992,17495000,0.016281227,,,,,,,,
Australia,279807.3632,1991,17284000,0.016188808,,,,,,,,
Australia,278352.7904,1990,17065100,0.016311231,,,,,,,,
Austria,66724.16664,2015,8633169,0.007728815,,,,,,,,
Austria,64204.36586,2014,8541575,0.007516689,,,,,,,,
Austria,67956.08667,2013,8479375,0.00801428,,,,,,,,
Austria,67721.09866,2012,8429991,0.008033354,,,,,,,,
Austria,70286.76743,2011,8391643,0.008375805,,,,,,,,
Austria,72547.41696,2010,8363404,0.008674389,,,,,,,,
Austria,67645.5224,2009,8343323,0.008107743,,,,,,,,
Austria,73805.18952,2008,8321496,0.008869221,,,,,,,,
Austria,74028.28593,2007,8295487,0.008923923,,,,,,,,
Austria,76683.54339,2006,8268641,0.00927402,,,,,,,,
